field,value
data_crea,2000-01-21 00:00:00
n_scheda,23139
segnatura,LE
noName,"6,33"
cod_sez,LE
n_s_sez,6
autore,"BERTHOLD, WILL"
collabor,"BAUDANZA A.,TRAD."
luogo_pub,MILANO
editore,BALDINI & CASTOLDI
data_pub,COPYRIGHT 1952
volume,2025-01-01 00:00:00
pagine,345
formato,20
note_sp,I LIBRI D'ORO [COLL.]
data_crea,2000-01-20 00:00:00
n_scheda,23138
segnatura,LE
noName,"6,32"
cod_sez,LE
n_s_sez,6
autore,"HEINRICH, WILLI"
collabor,"FARELLI W.,TRAD."
luogo_pub,MILANO
editore,BALDINI & CASTOLDI
data_pub,COPYRIGHT 1952
volume,2025-01-01 00:00:00
pagine,585
formato,20
note_sp,I LIBRI D'ORO [COLL.]
data_crea,2000-01-20 00:00:00
n_scheda,23137
segnatura,LE
noName,"6,31"
cod_sez,LE
n_s_sez,6
autore,"KROGER, THEODOR"
collabor,"SCALERO A.,TRAD."
edizione,"III, RISTAMPA"
luogo_pub,VERONA
editore,MONDADORI
data_pub,1945
volume,2025-01-01 00:00:00
pagine,593
formato,21
note_sp,OMNIBUS MONDADORI
data_crea,2000-01-20 00:00:00
n_scheda,23136
segnatura,LE
noName,"6,30"
cod_sez,LE
n_s_sez,6
autore,"WAGNER, RICHARD"
titolo,TRISTANO E ISOTTA. OPERA IN TRE ATTI. TESTO E MUSICA DI RICHARD WAGN ER (1813-1883)
collabor,"FLORIDIA P.,TRAD."
edizione,RISTAMPA
luogo_pub,MILANO
editore,RICORDI
data_pub,1975
volume,2025-01-01 00:00:00
pagine,94
formato,15
note_sp,"PRIMA RAPPRESENTAZIONE: MONACO, TEATRO REALE, 10 G"
data_crea,2000-01-20 00:00:00
n_scheda,23135
segnatura,LE
noName,"6,29"
cod_sez,LE
n_s_sez,6
autore,"EICHENDORFF, JOSEPH VON"
collabor,"NATOLI UGO,CURAT."
luogo_pub,TORINO
editore,EINAUDI
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XI,99"
formato,18
note_sp,UNIVERSALE EINAUDI
data_crea,2000-01-20 00:00:00
n_scheda,23134
segnatura,LE
noName,"10,204"
cod_sez,LE
n_s_sez,10
autore,"IBSEN, HENRIK"
collabor,"BUZZI MARIO,TRAD."
luogo_pub,MILANO
editore,SONZOGNO
data_pub,S.D.
volume,2025-01-01 00:00:00
pagine,78
formato,17.5
note_sp,IN TESTA FRONT.: BIBLIOTECA UNIVERSALE
data_crea,2000-01-20 00:00:00
n_scheda,23133
segnatura,LE
noName,"0/76,III"
cod_sez,LE
n_s_sez,0
autore,"GOETHE, J. W."
titolo,"IL FAUST. VERSIONE D'ARTE CON TESTO CRITICO DI WEIMAR A FRONTE, INTR O DUZIONE E COMMENTO A CURA DI GUIDO MANACORDA. V. III"
collabor,"WEIMAR,TRAD. / MANACORDA G.,CURAT."
edizione,II
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1954
volume,2025-03-03 00:00:00
pagine,"6 F.P.,334"
formato,16
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-20 00:00:00
n_scheda,23132
segnatura,LE
noName,"0/76,II"
cod_sez,LE
n_s_sez,0
autore,"GOETHE, J. W."
titolo,"IL FAUST. VERSIONE D'ARTE CON TESTO CRITICO DI WEIMAR A FRONTE, INTR O DUZIONE E COMMENTO A CURA DI GUIDO MANACORDA. V. II"
collabor,"WEIMAR,TRAD. / MANACORDA G.,CURAT."
edizione,I
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1949
volume,2025-03-02 00:00:00
pagine,"6 F.P.,311"
formato,16
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-20 00:00:00
n_scheda,23131
segnatura,LE
noName,"0/76,I (I-III)"
cod_sez,LE
n_s_sez,0
autore,"GOETHE, J. W."
titolo,"IL FAUST. VERSIONE D'ARTE CON TESTO CRITICO DI WEIMAR A FRONTE, INTR O DUZIONE E COMMENTO A CURA DI GUIDO MANACORDA. V. I"
collabor,"WEIMAR,TRAD. / MANACORDA G.,CURAT."
edizione,I
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1949
volume,2025-03-01 00:00:00
pagine,"XXXI,424"
formato,16
note_sp,BIBLIOTECA SANSONIANA STRANIERA
data_crea,2000-01-20 00:00:00
n_scheda,23130
segnatura,LE
noName,"0,75"
cod_sez,LE
n_s_sez,0
autore,"GOETHE, J. W."
collabor,"CARAFA A.,CURAT."
luogo_pub,FIRENZE
editore,SANSONI
data_pub,1940
volume,2025-01-01 00:00:00
